,city_name,date,latitude,longitude,temp,humidity,cloudiness,wind,country
372,belmonte,1600658301,-15.86,-38.88,75.2,83,40,8.05,BR
373,halifax,1600658511,44.65,-63.57,44.06,65,0,1.99,CA
374,oriximina,1600658511,-1.77,-55.87,82.13,58,18,2.68,BR
375,ornskoldsvik,1600658511,63.29,18.72,44.6,75,100,8.05,SE
376,la ronge,1600658237,55.1,-105.28,59.0,82,90,10.29,CA
377,bowmore,1600658512,34.94,-79.3,59.94,67,1,9.17,US
378,atambua,1600658274,-9.11,124.89,87.57,52,8,2.59,ID
379,kambar,1600658512,27.59,68.0,93.06,39,13,6.53,PK
380,srednekolymsk,1600658513,67.45,153.68,40.95,64,0,4.14,RU
381,anju,1600658513,39.62,125.66,66.6,58,100,4.34,KP
382,natal,1600658209,-5.79,-35.21,77.0,83,40,11.41,BR
383,emporia,1600658513,38.4,-96.18,62.6,67,1,6.93,US
384,berlevag,1600658359,70.86,29.09,42.8,81,75,10.29,NO
385,nosy varika,1600658514,-20.58,48.53,65.62,85,20,4.21,MG
386,progreso,1600658514,21.28,-89.67,77.56,94,40,5.28,MX
387,pozo colorado,1600658514,-23.49,-58.8,64.22,40,79,7.65,PY
